-Info- Address to monitor during execution is: 0x0060103c
[3463] debugger started
[3463] PC = 0x4edffba5.  instr = 0x014c0474
[3463] PC = 0x4edffba7.  instr = 0x0868014c
[3463] PC = 0x4edffbab.  instr = 0x260d8b48
[3463] PC = 0x4edffbb2.  instr = 0x74c98548
[3463] PC = 0x4edffbb5.  instr = 0x83480b74
[3463] PC = 0x4edffbb7.  instr = 0x08798348
[3463] PC = 0x4edffbbc.  instr = 0x04b6850f
[3463] PC = 0x4edffbc2.  instr = 0xa7058b48
[3463] PC = 0x4edffbc9.  instr = 0x74c08548
[3463] PC = 0x4edffbcc.  instr = 0x8b481274
[3463] PC = 0x4edffbce.  instr = 0xab158b48
[3463] PC = 0x4edffbd5.  instr = 0x087a8348
[3463] PC = 0x4edffbda.  instr = 0x04b7850f
[3463] PC = 0x4edffbe0.  instr = 0x81158b48
[3463] PC = 0x4edffbe7.  instr = 0x74d28548
[3463] PC = 0x4edffbea.  instr = 0xf7480e74
[3463] PC = 0x4edffbfa.  instr = 0x27158b48
[3463] PC = 0x4edffc01.  instr = 0x74d28548
[3463] PC = 0x4edffc04.  instr = 0xf7480e74
[3463] PC = 0x4edffc14.  instr = 0x043d8348
[3463] PC = 0x4edffc1c.  instr = 0x04d2850f
[3463] PC = 0x4edffc22.  instr = 0x863d8348
[3463] PC = 0x4edffc2a.  instr = 0x04a5850f
[3463] PC = 0x4edffc30.  instr = 0x0fed854d
[3463] PC = 0x4edffc33.  instr = 0x010f850f
[3463] PC = 0x4edffd48.  instr = 0x0fc08548
[3463] PC = 0x4edffd4b.  instr = 0x02b6840f
[3463] PC = 0x4edffd51.  instr = 0x08408b4c
[3463] PC = 0x4edffd55.  instr = 0x1c058b48
[3463] PC = 0x4edffd5c.  instr = 0x150d8b4c
[3463] PC = 0x4edffd63.  instr = 0x08788b48
[3463] PC = 0x4edffd67.  instr = 0x4cc4894d
[3463] PC = 0x4edffd6a.  instr = 0x4dc2894c
[3463] PC = 0x4edffd6d.  instr = 0x4ac9854d
[3463] PC = 0x4edffd70.  instr = 0x07348d4a
[3463] PC = 0x4edffd74.  instr = 0x89482a74
[3463] PC = 0x4edffd76.  instr = 0x48f88948
[3463] PC = 0x4edffd79.  instr = 0xaaabba48
[3463] PC = 0x4edffd83.  instr = 0x49e2f748
[3463] PC = 0x4edffd86.  instr = 0x08418b49
[3463] PC = 0x4edffd8a.  instr = 0x04eac148
[3463] PC = 0x4edffd8e.  instr = 0x48c23948
[3463] PC = 0x4edffd91.  instr = 0xd0470f48
[3463] PC = 0x4edffd95.  instr = 0x52048d48
[3463] PC = 0x4edffd99.  instr = 0x4dc2894c
[3463] PC = 0x4edffd9c.  instr = 0xc0248d4d
[3463] PC = 0x4edffda0.  instr = 0x74c98548
[3463] PC = 0x4edffda3.  instr = 0x8b482d74
[3463] PC = 0x4edffda5.  instr = 0x9c058b48
[3463] PC = 0x4edffdac.  instr = 0x3d0d8b48
[3463] PC = 0x4edffdb3.  instr = 0x08408b48
[3463] PC = 0x4edffdb7.  instr = 0x4cc18949
[3463] PC = 0x4edffdba.  instr = 0x0849034c
[3463] PC = 0x4edffdbe.  instr = 0x48f98948
[3463] PC = 0x4edffdc1.  instr = 0x49c12948
[3463] PC = 0x4edffdc4.  instr = 0x48f13949
[3463] PC = 0x4edffdc7.  instr = 0xf9440f48
[3463] PC = 0x4edffdcb.  instr = 0x48c0014c
[3463] PC = 0x4edffdce.  instr = 0x38348d48
[3463] PC = 0x4edffdd2.  instr = 0x8f058b48
[3463] PC = 0x4edffdd9.  instr = 0x48e2394c
[3463] PC = 0x4edffddc.  instr = 0x08788b48
[3463] PC = 0x4edffde0.  instr = 0x0f662973
[3463] PC = 0x4edffde2.  instr = 0x441f0f66
[3463] PC = 0x4edffde8.  instr = 0x48e8894c
[3463] PC = 0x4edffdeb.  instr = 0x83020348
[3463] PC = 0x4edffdee.  instr = 0x08087a83
[3463] PC = 0x4edffdf2.  instr = 0x0220850f
[3463] PC = 0x4edffdf8.  instr = 0x48e9894c
[3463] PC = 0x4edffdfb.  instr = 0x104a0348
[3463] PC = 0x4edffdff.  instr = 0x18c28348
[3463] PC = 0x4edffe03.  instr = 0x48e2394c
[3463] PC = 0x4edffe06.  instr = 0x72088948
[3463] PC = 0x4edffe09.  instr = 0x8348dd72
[3463] PC = 0x4edffde8.  instr = 0x48e8894c
[3463] PC = 0x4edffdeb.  instr = 0x83020348
[3463] PC = 0x4edffdee.  instr = 0x08087a83
[3463] PC = 0x4edffdf2.  instr = 0x0220850f
[3463] PC = 0x4edffdf8.  instr = 0x48e9894c
[3463] PC = 0x4edffdfb.  instr = 0x104a0348
[3463] PC = 0x4edffdff.  instr = 0x18c28348
[3463] PC = 0x4edffe03.  instr = 0x48e2394c
[3463] PC = 0x4edffe06.  instr = 0x72088948
[3463] PC = 0x4edffe09.  instr = 0x8348dd72
[3463] PC = 0x4edffde8.  instr = 0x48e8894c
[3463] PC = 0x4edffdeb.  instr = 0x83020348
[3463] PC = 0x4edffdee.  instr = 0x08087a83
[3463] PC = 0x4edffdf2.  instr = 0x0220850f
[3463] PC = 0x4edffdf8.  instr = 0x48e9894c
[3463] PC = 0x4edffdfb.  instr = 0x104a0348
[3463] PC = 0x4edffdff.  instr = 0x18c28348
[3463] PC = 0x4edffe03.  instr = 0x48e2394c
[3463] PC = 0x4edffe06.  instr = 0x72088948
[3463] PC = 0x4edffe09.  instr = 0x8348dd72
[3463] PC = 0x4edffde8.  instr = 0x48e8894c
[3463] PC = 0x4edffdeb.  instr = 0x83020348
[3463] PC = 0x4edffdee.  instr = 0x08087a83
[3463] PC = 0x4edffdf2.  instr = 0x0220850f
[3463] PC = 0x4edffdf8.  instr = 0x48e9894c
[3463] PC = 0x4edffdfb.  instr = 0x104a0348
[3463] PC = 0x4edffdff.  instr = 0x18c28348
[3463] PC = 0x4edffe03.  instr = 0x48e2394c
[3463] PC = 0x4edffe06.  instr = 0x72088948
[3463] PC = 0x4edffe09.  instr = 0x8348dd72
[3463] PC = 0x4edffde8.  instr = 0x48e8894c
[3463] PC = 0x4edffdeb.  instr = 0x83020348
[3463] PC = 0x4edffdee.  instr = 0x08087a83
[3463] PC = 0x4edffdf2.  instr = 0x0220850f
[3463] PC = 0x4edffdf8.  instr = 0x48e9894c
[3463] PC = 0x4edffdfb.  instr = 0x104a0348
[3463] PC = 0x4edffdff.  instr = 0x18c28348
[3463] PC = 0x4edffe03.  instr = 0x48e2394c
[3463] PC = 0x4edffe06.  instr = 0x72088948
[3463] PC = 0x4edffe09.  instr = 0x8348dd72
[3463] PC = 0x4edffde8.  instr = 0x48e8894c
[3463] PC = 0x4edffdeb.  instr = 0x83020348
[3463] PC = 0x4edffdee.  instr = 0x08087a83
[3463] PC = 0x4edffdf2.  instr = 0x0220850f
[3463] PC = 0x4edffdf8.  instr = 0x48e9894c
[3463] PC = 0x4edffdfb.  instr = 0x104a0348
[3463] PC = 0x4edffdff.  instr = 0x18c28348
[3463] PC = 0x4edffe03.  instr = 0x48e2394c
[3463] PC = 0x4edffe06.  instr = 0x72088948
[3463] PC = 0x4edffe09.  instr = 0x8348dd72
[3463] PC = 0x4edffde8.  instr = 0x48e8894c
[3463] PC = 0x4edffdeb.  instr = 0x83020348
[3463] PC = 0x4edffdee.  instr = 0x08087a83
[3463] PC = 0x4edffdf2.  instr = 0x0220850f
[3463] PC = 0x4edffdf8.  instr = 0x48e9894c
[3463] PC = 0x4edffdfb.  instr = 0x104a0348
[3463] PC = 0x4edffdff.  instr = 0x18c28348
[3463] PC = 0x4edffe03.  instr = 0x48e2394c
[3463] PC = 0x4edffe06.  instr = 0x72088948
[3463] PC = 0x4edffe09.  instr = 0x8348dd72
[3463] PC = 0x4edffde8.  instr = 0x48e8894c
[3463] PC = 0x4edffdeb.  instr = 0x83020348
[3463] PC = 0x4edffdee.  instr = 0x08087a83
[3463] PC = 0x4edffdf2.  instr = 0x0220850f
[3463] PC = 0x4edffdf8.  instr = 0x48e9894c
[3463] PC = 0x4edffdfb.  instr = 0x104a0348
[3463] PC = 0x4edffdff.  instr = 0x18c28348
[3463] PC = 0x4edffe03.  instr = 0x48e2394c
[3463] PC = 0x4edffe06.  instr = 0x72088948
[3463] PC = 0x4edffe09.  instr = 0x8348dd72
[3463] PC = 0x4edffde8.  instr = 0x48e8894c
[3463] PC = 0x4edffdeb.  instr = 0x83020348
[3463] PC = 0x4edffdee.  instr = 0x08087a83
[3463] PC = 0x4edffdf2.  instr = 0x0220850f
[3463] PC = 0x4edffdf8.  instr = 0x48e9894c
[3463] PC = 0x4edffdfb.  instr = 0x104a0348
[3463] PC = 0x4edffdff.  instr = 0x18c28348
[3463] PC = 0x4edffe03.  instr = 0x48e2394c
[3463] PC = 0x4edffe06.  instr = 0x72088948
[3463] PC = 0x4edffe09.  instr = 0x8348dd72
[3463] PC = 0x4edffde8.  instr = 0x48e8894c
[3463] PC = 0x4edffdeb.  instr = 0x83020348
[3463] PC = 0x4edffdee.  instr = 0x08087a83
[3463] PC = 0x4edffdf2.  instr = 0x0220850f
[3463] PC = 0x4edffdf8.  instr = 0x48e9894c
[3463] PC = 0x4edffdfb.  instr = 0x104a0348
[3463] PC = 0x4edffdff.  instr = 0x18c28348
[3463] PC = 0x4edffe03.  instr = 0x48e2394c
[3463] PC = 0x4edffe06.  instr = 0x72088948
[3463] PC = 0x4edffe09.  instr = 0x8348dd72
[3463] PC = 0x4edffe0b.  instr = 0xad3d8348
[3463] PC = 0x4edffe13.  instr = 0x029d840f
[3463] PC = 0x4edffe19.  instr = 0x4ce6394c
[3463] PC = 0x4edffe1c.  instr = 0xd9058d4c
[3463] PC = 0x4edffe23.  instr = 0xfe1e860f
[3463] PC = 0x4edffe29.  instr = 0x00801f0f
[3463] PC = 0x4edffe30.  instr = 0x247c8b4d
[3463] PC = 0x4edffe35.  instr = 0x49e9894c
[3463] PC = 0x4edffe38.  instr = 0x240c0349
[3463] PC = 0x4edffe3c.  instr = 0x45f8894c
[3463] PC = 0x4edffe3f.  instr = 0x48ff8945
[3463] PC = 0x4edffe42.  instr = 0x20e8c148
[3463] PC = 0x4edffe46.  instr = 0x48ff854d
[3463] PC = 0x4edffe49.  instr = 0x40048d48
[3463] PC = 0x4edffe4d.  instr = 0xc7348d4c
[3463] PC = 0x4edffe51.  instr = 0x0164840f
[3463] PC = 0x4edffe57.  instr = 0x0ff6854d
[3463] PC = 0x4edffe5a.  instr = 0x01a0840f
[3463] PC = 0x4edffe60.  instr = 0x56b60f41
[3463] PC = 0x4edffe65.  instr = 0x08468b49
[3463] PC = 0x4edffe69.  instr = 0x88050348
[3463] PC = 0x4edffe70.  instr = 0x800fe283
[3463] PC = 0x4edffe73.  instr = 0x0f0afa80
[3463] PC = 0x4edffe76.  instr = 0x01bb840f
[3463] PC = 0x4edffe7c.  instr = 0x06ef8349
[3463] PC = 0x4edffe80.  instr = 0x1eff8349
[3463] PC = 0x4edffe84.  instr = 0x0131870f
[3463] PC = 0x4edffe8a.  instr = 0xb814634b
[3463] PC = 0x4edffe8e.  instr = 0xffc2014c
[3463] PC = 0x4edffe91.  instr = 0x1f0fe2ff
[3463] PC = 0x4edfffb3.  instr = 0x24440349
[3463] PC = 0x4edfffb8.  instr = 0x49018948
[3463] PC = 0x4edfffbb.  instr = 0x18c48349
[3463] PC = 0x4edfffbf.  instr = 0x0fe6394c
[3463] PC = 0x4edfffc2.  instr = 0xfe68870f
[3463] PC = 0x4edffe30.  instr = 0x247c8b4d
[3463] PC = 0x4edffe35.  instr = 0x49e9894c
[3463] PC = 0x4edffe38.  instr = 0x240c0349
[3463] PC = 0x4edffe3c.  instr = 0x45f8894c
[3463] PC = 0x4edffe3f.  instr = 0x48ff8945
